,Date,Week Number ,Influenza[it],Febbre[it],Cefalea[it],Paracetamolo[it],Rinorrea[it],Mialgia[it],Vomito[it],Vaccino antinfluenzale[it],Antibiotico[it],Tosse[it],Artralgia[it],Antipiretico[it],Polmonite[it],Brivido[it],Raffreddore comune[it],Ketoprofene[it],Acido ascorbico[it],Unnamed: 6
0,2008-01-01,1,989,2395,1291,2933,103,1291,560,0,1375,436,1,408,1646,107,531,125,971,
1,2008-01-08,2,962,2553,1360,2547,147,1302,634,0,1678,552,0,361,1810,118,493,144,1309,
2,2008-01-15,3,1029,2309,1401,2735,136,894,658,0,1671,489,1,333,1592,164,466,149,1277,
3,2008-01-22,4,1031,2399,1137,2296,136,776,519,0,1516,509,0,322,1884,131,410,158,1306,
4,2008-01-29,5,1021,2419,1274,2222,121,700,594,0,1504,520,2,294,1882,116,453,109,1317,
5,2008-02-05,6,1010,2666,1258,2182,132,721,553,0,1493,500,2,321,1811,150,515,151,1268,
6,2008-02-12,7,1019,2385,1141,2304,131,650,651,0,1656,525,1,305,1927,148,504,146,1365,
7,2008-02-19,8,1080,2827,1199,2389,159,618,645,0,1679,540,17,325,1846,145,546,135,1354,
8,2008-02-26,9,854,2262,1143,1972,146,598,566,0,1431,450,76,288,1595,130,433,106,1194,
9,2008-03-04,10,647,1780,1060,1785,112,599,509,0,1205,413,104,254,1557,92,358,100,1148,
10,2008-03-11,11,629,2013,1193,1716,156,694,556,0,1371,451,87,198,1553,107,341,109,1147,
11,2008-03-18,12,443,1601,1071,1586,130,527,474,0,1083,367,80,235,1250,110,334,125,1003,
12,2008-03-25,13,541,1845,1270,1716,160,625,684,0,1425,481,117,229,1496,133,360,151,1168,
13,2008-04-01,14,495,1604,1200,1584,150,590,625,0,1317,427,119,216,1518,136,367,157,1158,
14,2008-04-08,15,455,1693,1047,1571,113,504,571,0,1284,444,135,218,1288,103,359,173,775,
15,2008-04-15,16,474,1856,1079,1626,137,567,563,0,1392,366,161,183,1378,124,369,211,612,
16,2008-04-22,17,380,1488,1205,1541,127,504,552,0,1202,407,175,230,1516,99,399,169,1155,
17,2008-04-29,18,384,1551,1051,1419,128,500,546,0,1066,419,196,217,1295,104,369,153,1720,
18,2008-05-06,19,390,1647,1137,1517,141,568,524,0,1298,424,241,189,1274,132,326,195,381,
19,2008-05-13,20,417,1716,1359,1527,137,539,670,0,1377,428,238,206,1602,175,313,223,437,
20,2008-05-20,21,411,1718,1309,1694,119,590,694,0,1397,398,222,194,1456,155,234,235,689,
21,2008-05-27,22,324,1861,1169,1367,123,476,642,0,1321,327,204,207,1634,142,246,190,1347,
22,2008-06-03,23,365,1691,1269,1548,126,518,675,0,1588,413,260,185,1662,157,203,230,942,
23,2008-06-10,24,370,1649,1258,1503,130,556,540,0,1474,374,286,176,1617,167,194,204,880,
24,2008-06-17,25,344,1777,943,1353,101,527,586,0,1558,331,225,157,1436,170,235,184,373,
25,2008-06-24,26,279,1727,936,1299,108,509,692,0,1481,319,248,161,1678,201,154,204,377,
26,2008-07-01,27,305,1570,791,1305,107,425,650,0,1404,324,237,144,1497,171,109,215,339,
27,2008-07-08,28,298,1524,714,1434,106,416,553,0,1446,283,260,127,1401,162,120,199,566,
28,2008-07-15,29,278,1459,896,1477,109,646,684,0,1206,282,217,159,1406,132,153,198,734,
29,2008-07-22,30,237,1555,660,1109,101,460,587,0,1098,254,225,91,1244,140,167,187,244,
30,2008-07-29,31,189,1612,622,1160,83,370,574,0,1068,189,201,146,1120,143,146,171,386,
31,2008-08-05,32,179,1304,607,1113,65,361,498,0,937,228,148,139,1102,122,148,244,193,
32,2008-08-12,33,202,1308,492,1037,74,314,483,1,721,178,125,134,885,112,175,219,148,
33,2008-08-19,34,253,1571,768,1300,100,443,609,0,978,209,145,171,1118,106,187,286,254,
34,2008-08-26,35,351,1951,917,1439,155,517,649,0,1315,256,249,138,1377,113,261,341,236,
35,2008-09-02,36,386,2119,1000,1494,153,533,657,0,1337,323,241,210,1499,110,292,393,237,
36,2008-09-09,37,494,2090,1094,1518,160,529,681,0,1399,387,292,201,1319,99,318,459,385,
37,2008-09-16,38,1474,2229,1053,2952,182,537,691,1,1428,293,232,285,1410,147,520,458,902,
38,2008-09-23,39,927,2774,959,2314,212,466,760,1,1402,378,259,319,1595,140,1062,422,444,
39,2008-09-30,40,1035,2806,1057,2460,214,518,737,0,1579,468,274,323,1671,140,1339,481,1053,
40,2008-10-07,41,1022,2584,1002,2576,207,544,782,0,1690,530,247,371,1999,136,1052,441,1094,
41,2008-10-14,42,844,2533,1173,2257,210,577,798,0,1689,556,305,349,2086,126,791,466,751,
42,2008-10-21,43,701,2062,930,1780,159,474,679,0,1249,389,265,240,1561,111,450,413,241,
43,2008-10-28,44,821,2269,1084,2117,199,551,817,1,1487,450,281,276,1869,114,539,498,393,
44,2008-11-04,45,947,2350,1114,1924,212,630,849,1,1483,502,328,272,1782,128,429,471,980,
45,2008-11-11,46,1116,2470,1114,2129,202,586,870,0,1799,536,268,155,1939,142,481,452,1125,
